quarter,BTCA-SG,LIRI-JP,ORCA-IN,GACA-CN
Mon Aug 11 '14 - 20:25,46.154,89.509,100.000,30.833
Tue Aug 12 '14 - 13:04,46.154,89.509,100.000,32.500
Wed Aug 13 '14 - 13:03,46.154,89.509,100.000,35.000
Thu Aug 14 '14 - 13:03,46.154,89.527,100.000,36.667
Thu Aug 14 '14 - 13:41,46.154,89.527,100.000,36.667
Fri Aug 15 '14 - 13:03,100.000,89.527,100.000,37.500
Sat Aug 16 '14 - 13:03,100.000,89.527,100.000,40.000
Sun Aug 17 '14 - 13:04,100.000,89.527,100.000,40.000
Mon Aug 18 '14 - 13:03,100.000,89.527,100.000,40.000
Tue Aug 19 '14 - 15:57,100.000,89.527,100.000,40.000
Wed Aug 20 '14 - 13:03,100.000,89.527,100.000,42.500
Thu Aug 21 '14 - 13:04,100.000,89.527,100.000,43.333
Fri Aug 22 '14 - 13:06,100.000,89.527,100.000,44.167
Sat Aug 23 '14 - 13:03,100.000,89.527,100.000,44.167
Sun Aug 24 '14 - 13:03,100.000,89.527,100.000,44.167
Mon Aug 25 '14 - 13:04,100.000,89.527,100.000,44.167
Tue Aug 26 '14 - 13:03,100.000,89.527,100.000,44.167
Wed Aug 27 '14 - 13:04,100.000,89.527,100.000,44.167
Thu Aug 28 '14 - 13:03,100.000,89.527,100.000,44.167
Fri Aug 29 '14 - 13:03,100.000,89.527,100.000,44.167
