quarter,PBCA-DE,MALY-DE,EOPC-DE
Thur Jun 19 '14 - 13:08,99.4736842105263,100,100
Fri Jun 20 '14 - 12:03,99.4736842105263,100,100
Mon Jun 23 '14 - 12:04,106.179775280899,35.4838709677419,100
Tue Jun 24 '14 - 15:45,99.601593625498,58.8709677419355,100
Thu Jun 26 '14 - 19:52,99.602,58.871,100.000
Fri Jun 27 '14 - 14:06,99.602,58.871,100.000
Fri Jun 27 '14 - 18:51,99.602,58.871,100.000
Sat Jun 28 '14 - 12:42,99.602,58.871,100.000
Sun Jun 29 '14 - 12:42,99.602,58.871,100.000
Mon Jun 30 '14 - 12:42,99.602,100.000,100.000
Tue Jul 01 '14 - 12:42,100.000,100.000,100.000
Wed Jul 02 '14 - 12:42,100.000,100.000,100.000
Thu Jul 03 '14 - 12:42,100.000,100.000,100.000
Fri Jul 04 '14 - 12:42,100.000,100.000,100.000
Sat Jul 05 '14 - 12:41,100.000,132.877,100.000
Sun Jul 06 '14 - 12:41,100.000,132.877,100.000
Mon Jul 07 '14 - 12:42,100.000,132.877,100.000
Tue Jul 08 '14 - 12:42,100.000,99.487,100.000
Wed Jul 09 '14 - 12:41,100.000,99.487,100.000
Thu Jul 10 '14 - 12:42,100.000,99.487,100.000
Fri Jul 11 '14 - 12:42,100.000,99.487,100.000
Sat Jul 12 '14 - 12:41,100.000,99.487,100.000
Sun Jul 13 '14 - 12:42,100.000,99.487,100.000
Mon Jul 14 '14 - 12:42,100.000,99.487,100.000
Tue Jul 15 '14 - 12:42,100.000,99.487,100.000
Wed Jul 16 '14 - 12:42,100.000,99.487,100.000
Thu Jul 17 '14 - 12:42,100.000,99.487,100.000
Fri Jul 18 '14 - 12:42,100.000,99.487,100.000
Sat Jul 19 '14 - 12:41,100.398,99.487,100.000
Sun Jul 20 '14 - 12:41,100.398,99.487,100.000
Mon Jul 21 '14 - 12:42,100.398,99.487,100.000
Tue Jul 22 '14 - 13:03,100.398,99.487,100.000
Wed Jul 23 '14 - 13:02,100.398,99.487,100.000
Wed Jul 23 '14 - 17:16,100.398,99.487,100.000
Wed Jul 23 '14 - 17:42,100.398,99.487,100.000
Wed Jul 23 '14 - 17:54,100.398,99.487,100.000
Wed Jul 23 '14 - 17:59,100.398,99.487,100.000
Wed Jul 23 '14 - 18:05,100.398,99.487,100.000
Wed Jul 23 '14 - 18:07,100.398,99.487,100.000
Wed Jul 23 '14 - 18:09,100.398,99.487,100.000
Wed Jul 23 '14 - 18:12,100.398,99.487,100.000
Wed Jul 23 '14 - 18:16,100.398,99.487,100.000
Wed Jul 23 '14 - 18:20,100.398,99.487,100.000
Wed Jul 23 '14 - 18:34,100.398,99.487,100.000
Wed Jul 23 '14 - 18:42,100.398,99.487,100.000
Thu Jul 24 '14 - 13:29,100.398,99.487,100.000
Fri Jul 25 '14 - 13:03,100.398,99.487,100.000
Sat Jul 26 '14 - 12:02,100.398,99.487,100.000
Sun Jul 27 '14 - 12:02,100.398,99.487,100.000
Mon Jul 28 '14 - 12:02,100.398,99.487,100.000
Tue Jul 29 '14 - 13:03,100.398,99.487,100.000
Wed Jul 30 '14 - 13:02,100.398,99.487,100.000
Thu Jul 31 '14 - 13:02,100.398,99.487,100.000
Fri Aug 01 '14 - 13:02,100.398,99.487,100.000
Sat Aug 02 '14 - 13:02,100.398,99.487,100.000
Sun Aug 03 '14 - 13:02,100.398,99.487,100.000
Mon Aug 04 '14 - 13:03,100.398,99.487,100.000
Tue Aug 05 '14 - 13:04,100.398,99.487,100.000
Wed Aug 06 '14 - 13:01,100.398,99.487,100.000
Mon Aug 11 '14 - 20:25,100.398,99.487,19.469
Tue Aug 12 '14 - 13:04,100.398,99.487,19.469
Wed Aug 13 '14 - 13:03,100.398,99.487,98.230
Thu Aug 14 '14 - 13:41,100.398,99.487,98.230
Fri Aug 15 '14 - 13:03,100.398,99.487,100.000
Sat Aug 16 '14 - 13:03,100.398,99.487,100.000
Sun Aug 17 '14 - 13:04,100.398,99.487,100.000
Mon Aug 18 '14 - 13:03,100.398,99.487,100.000
Mon Aug 18 '14 - 17:15,100.398,99.487,100.000
