quarter,PBCA-DE,MALY-DE,EOPC-DE
Sun Jul 27 '14 - 12:02,100.398,99.487,100.000
Mon Jul 28 '14 - 12:02,100.398,99.487,100.000
Tue Jul 29 '14 - 13:03,100.398,99.487,100.000
Wed Jul 30 '14 - 13:02,100.398,99.487,100.000
Thu Jul 31 '14 - 13:02,100.398,99.487,100.000
Fri Aug 01 '14 - 13:02,100.398,99.487,100.000
Sat Aug 02 '14 - 13:02,100.398,99.487,100.000
Sun Aug 03 '14 - 13:02,100.398,99.487,100.000
Mon Aug 04 '14 - 13:03,100.398,99.487,100.000
Tue Aug 05 '14 - 13:04,100.398,99.487,100.000
Wed Aug 06 '14 - 13:01,100.398,99.487,100.000
Mon Aug 11 '14 - 20:25,100.398,99.487,19.469
Tue Aug 12 '14 - 13:04,100.398,99.487,19.469
Wed Aug 13 '14 - 13:03,100.398,99.487,98.230
Thu Aug 14 '14 - 13:41,100.398,99.487,98.230
Fri Aug 15 '14 - 13:03,100.398,99.487,100.000
Sat Aug 16 '14 - 13:03,100.398,99.487,100.000
Sun Aug 17 '14 - 13:04,100.398,99.487,100.000
Mon Aug 18 '14 - 13:03,100.398,99.487,100.000
Mon Aug 18 '14 - 17:15,100.398,99.487,100.000
