quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA,PACA-AU,PAEN-AU,OV-AU
Mon Jul 28 '14 - 12:02,219.512,100.000,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Tue Jul 29 '14 - 13:03,219.512,100.000,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Wed Jul 30 '14 - 13:02,219.512,100.000,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Thu Jul 31 '14 - 13:02,219.512,100.000,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Fri Aug 01 '14 - 13:02,219.512,100.000,194.872,134.146,28.947,131.667,100.000,0.000,0.000,0.000
Sat Aug 02 '14 - 13:02,219.512,100.000,194.872,134.146,31.053,131.667,100.000,0.000,0.000,0.000
Sun Aug 03 '14 - 13:02,219.512,100.000,194.872,134.146,37.368,131.667,100.000,0.000,0.000,0.000
Mon Aug 04 '14 - 13:03,219.512,100.000,194.872,134.146,37.368,131.667,100.000,0.000,0.000,0.000
Tue Aug 05 '14 - 13:04,219.512,99.020,194.872,134.146,38.421,131.667,126.230,0.000,0.000,0.000
Wed Aug 06 '14 - 13:01,219.512,99.020,194.872,134.146,39.474,131.667,126.230,0.000,0.000,0.000
Mon Aug 11 '14 - 20:25,219.512,100.000,194.872,134.146,59.474,131.667,100.000,0.000,0.000,0.000
Tue Aug 12 '14 - 13:04,219.512,100.000,194.872,134.146,60.000,131.667,100.000,0.000,0.000,0.000
Wed Aug 13 '14 - 13:03,219.512,100.000,194.872,134.146,68.947,131.667,100.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:03,219.512,99.020,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:41,219.512,99.020,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Fri Aug 15 '14 - 13:03,219.512,99.020,194.872,134.146,5.263,131.667,100.000,60.101,0.000,85.135
Sat Aug 16 '14 - 13:03,219.512,100.000,194.872,134.146,82.632,131.667,100.000,92.424,0.000,85.135
Sun Aug 17 '14 - 13:04,219.512,100.000,194.872,134.146,88.421,131.667,100.000,100.000,0.000,85.135
Mon Aug 18 '14 - 13:03,219.512,99.020,194.872,134.146,5.495,131.667,100.000,100.000,0.000,85.135
Mon Aug 18 '14 - 17:15,219.512,99.020,194.872,7.757,5.495,367.442,125.203,0.000,0.000,0.000
