quarter,BTCA-SG,LIRI-JP,ORCA-IN,GACA-CN
Mon Jul 28 '14 - 12:02,46.154,89.509,100.000,20.833
Tue Jul 29 '14 - 13:03,46.154,89.509,100.000,20.833
Wed Jul 30 '14 - 13:02,46.154,89.509,100.000,20.833
Thu Jul 31 '14 - 13:02,46.154,89.509,100.000,20.833
Fri Aug 01 '14 - 13:02,46.154,89.509,100.000,20.833
Sat Aug 02 '14 - 13:02,46.154,89.509,100.000,20.833
Sun Aug 03 '14 - 13:02,46.154,89.509,100.000,20.833
Mon Aug 04 '14 - 13:03,46.154,89.509,100.000,20.833
Tue Aug 05 '14 - 13:04,60.000,89.813,100.000,20.833
Wed Aug 06 '14 - 13:01,60.000,89.813,100.000,20.833
Mon Aug 11 '14 - 20:25,46.154,89.509,100.000,30.833
Tue Aug 12 '14 - 13:04,46.154,89.509,100.000,32.500
Wed Aug 13 '14 - 13:03,46.154,89.509,100.000,35.000
Thu Aug 14 '14 - 13:03,46.154,89.527,100.000,36.667
Thu Aug 14 '14 - 13:41,46.154,89.527,100.000,36.667
Fri Aug 15 '14 - 13:03,100.000,89.527,100.000,37.500
Sat Aug 16 '14 - 13:03,100.000,89.527,100.000,40.000
Sun Aug 17 '14 - 13:04,100.000,89.527,100.000,40.000
Mon Aug 18 '14 - 13:03,100.000,89.527,100.000,40.000
Mon Aug 18 '14 - 17:15,50.000,89.527,100.000,40.000
