quarter,BTCA-SG,LIRI-JP,ORCA-IN,GACA-CN
Mon Jul 28 '14 - 12:02,12.000,529.000,26.000,25.000
Tue Jul 29 '14 - 13:03,12.000,529.000,26.000,25.000
Wed Jul 30 '14 - 13:02,12.000,529.000,26.000,25.000
Thu Jul 31 '14 - 13:02,12.000,529.000,26.000,25.000
Fri Aug 01 '14 - 13:02,12.000,529.000,26.000,25.000
Sat Aug 02 '14 - 13:02,12.000,529.000,26.000,25.000
Sun Aug 03 '14 - 13:02,12.000,529.000,26.000,25.000
Mon Aug 04 '14 - 13:03,12.000,529.000,26.000,25.000
Tue Aug 05 '14 - 13:04,12.000,529.000,26.000,25.000
Wed Aug 06 '14 - 13:01,12.000,529.000,26.000,25.000
Mon Aug 11 '14 - 20:25,12.000,529.000,26.000,37.000
Tue Aug 12 '14 - 13:04,12.000,529.000,26.000,39.000
Wed Aug 13 '14 - 13:03,12.000,529.000,26.000,42.000
Thu Aug 14 '14 - 13:03,12.000,530.000,26.000,44.000
Thu Aug 14 '14 - 13:41,12.000,530.000,26.000,44.000
Fri Aug 15 '14 - 13:03,24.000,530.000,26.000,45.000
Sat Aug 16 '14 - 13:03,24.000,530.000,26.000,48.000
Sun Aug 17 '14 - 13:04,24.000,530.000,26.000,48.000
Mon Aug 18 '14 - 13:03,24.000,530.000,26.000,48.000
Mon Aug 18 '14 - 17:15,12.000,530.000,26.000,48.000
