quarter,Heidelberg,Cambridge,Toronto,Barcelona,Singapore,Tokyo,Hinxton,Seoul,Kalyani,Brisbane,Beijing,TCGA-US
Sun Jul 27 '14 - 12:02,100.139,54.861,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Mon Jul 28 '14 - 12:02,100.139,54.861,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Tue Jul 29 '14 - 13:03,100.139,35.600,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Wed Jul 30 '14 - 13:02,100.139,35.600,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Thu Jul 31 '14 - 13:02,100.139,35.600,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Fri Aug 01 '14 - 13:02,100.139,35.600,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Sat Aug 02 '14 - 13:02,100.139,55.200,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Sun Aug 03 '14 - 13:02,100.139,60.000,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Mon Aug 04 '14 - 13:03,100.139,60.000,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,20.833,100.000
Tue Aug 05 '14 - 13:04,100.139,60.800,36.667,99.000,46.154,89.813,151.908,100.000,100.000,0.000,20.833,100.000
Wed Aug 06 '14 - 13:01,100.139,61.600,36.667,99.000,46.154,89.813,151.908,100.000,100.000,0.000,20.833,100.000
Mon Aug 11 '14 - 20:25,88.889,76.800,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,30.833,100.000
Tue Aug 12 '14 - 13:04,88.889,77.200,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,32.500,100.000
Wed Aug 13 '14 - 13:03,99.630,84.000,34.071,99.000,46.154,89.509,151.908,100.000,100.000,0.000,35.000,100.000
Thu Aug 14 '14 - 13:41,99.630,35.600,34.071,99.000,46.154,89.527,151.908,100.000,100.000,0.000,36.667,100.000
Fri Aug 15 '14 - 13:03,99.877,35.600,34.071,99.000,100.000,89.527,151.908,100.000,100.000,43.907,37.500,100.000
Sat Aug 16 '14 - 13:03,99.877,94.400,34.071,99.000,100.000,89.527,151.908,100.000,100.000,55.376,40.000,100.000
Sun Aug 17 '14 - 13:04,99.877,98.800,34.071,99.000,100.000,89.527,151.908,100.000,100.000,58.065,40.000,100.000
Mon Aug 18 '14 - 13:03,99.877,36.777,34.071,99.000,100.000,89.527,151.908,100.000,100.000,58.065,40.000,100.000
Mon Aug 18 '14 - 17:15,99.877,43.735,36.580,97.500,50.000,89.527,42.796,100.000,100.000,0.000,40.000,100.000
