Project	Total
BOCA-UK	152
BRCA-EU	158
BRCA-KR	0
BRCA-UK	90
BTCA-SG	12
CLLE-ES	194
CMDI-UK	102
EOPC-DE	22
ESAD-UK	20
GACA-CN	24
LAML-KR	20
LICA-FR	10
LINC-JP	0
LIRI-JP	529
MALY-DE	194
ORCA-IN	26
OV-AU	0
PACA-AU	0
PACA-CA	154
PAEN-AU	0
PBCA-DE	502
PRAD-CA	0
PRAD-UK	55
BLCA-US	46
BRCA-US	200
CESC-US	40
COAD-US	92
DLBC-US	14
GBM-US	106
HNSC-US	92
KICH-US	98
KIRC-US	82
KIRP-US	68
LAML-US	100
LGG-US	40
LIHC-US	108
LUAD-US	98
LUSC-US	100
OV-US	100
PRAD-US	40
READ-US	34
SARC-US	68
SKCM-US	78
STAD-US	80
THCA-US	100
UCEC-US	102
