quarter,Heidelberg,Cambridge,Toronto,Barcelona,Singapore,Tokyo,Hinxton,Seoul,Kalyani,Brisbane,Beijing,TCGA-US
Sun Jul 27 '14 - 12:02,720.000,158.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Mon Jul 28 '14 - 12:02,720.000,158.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Tue Jul 29 '14 - 13:03,720.000,178.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Wed Jul 30 '14 - 13:02,720.000,178.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Thu Jul 31 '14 - 13:02,720.000,178.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Fri Aug 01 '14 - 13:02,720.000,178.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Sat Aug 02 '14 - 13:02,720.000,276.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Sun Aug 03 '14 - 13:02,720.000,300.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Mon Aug 04 '14 - 13:03,720.000,300.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Tue Aug 05 '14 - 13:04,720.000,304.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Wed Aug 06 '14 - 13:01,720.000,308.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,25.000000,1874
Mon Aug 11 '14 - 20:25,720.000,384.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,37.000000,1874
Tue Aug 12 '14 - 13:04,720.000,386.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,39.000000,1874
Wed Aug 13 '14 - 13:03,807.000,420.000,154.000,198.000,12.000,529.000,398.000,20.000,26.000,0.000000,42.000000,1874
Thu Aug 14 '14 - 13:41,807.000,178.000,154.000,198.000,12.000,530.000,398.000,20.000,26.000,0.000000,44.000000,1874
Fri Aug 15 '14 - 13:03,811.000,178.000,154.000,198.000,24.000,530.000,398.000,20.000,26.000,245.000000,45.000000,1874
Sat Aug 16 '14 - 13:03,811.000,472.000,154.000,198.000,24.000,530.000,398.000,20.000,26.000,309.000000,48.000000,1874
Sun Aug 17 '14 - 13:04,811.000,494.000,154.000,198.000,24.000,530.000,398.000,20.000,26.000,324.000000,48.000000,1874
Mon Aug 18 '14 - 13:03,811.000,178.000,154.000,198.000,24.000,530.000,398.000,20.000,26.000,324.000000,48.000000,1874
Mon Aug 18 '14 - 17:15,811.000,178.000,177.000,195.000,12.000,530.000,398.000,20.000,26.000,0.000000,48.000000,1874
