quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA,PACA-AU,PAEN-AU,OV-AU
Thur Jun 19 '14 - 13:08,0,102,78,40,0,42,62,0,0,0
Fri Jun 20 '14 - 12:03,0,102,78,40,0,42,62,0,0,0
Mon Jun 23 '14 - 12:04,0,102,0,40,0,42,62,0,0,0
Tue Jun 24 '14 - 15:45,0,102,0,40,0,42,62,0,0,0
Thu Jun 26 '14 - 19:52,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Fri Jun 27 '14 - 14:06,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Fri Jun 27 '14 - 18:51,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Sat Jun 28 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Sun Jun 29 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Mon Jun 30 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Tue Jul 01 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Wed Jul 02 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Thu Jul 03 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,62.000,0,0,0
Fri Jul 04 '14 - 12:42,0.000,102.000,78.000,40.000,0.000,42.000,63.000,0,0,0
Sat Jul 05 '14 - 12:41,40.000,102.000,78.000,40.000,0.000,42.000,89.000,0,0,0
Sun Jul 06 '14 - 12:41,40.000,102.000,78.000,40.000,0.000,42.000,89.000,0,0,0
Mon Jul 07 '14 - 12:42,40.000,102.000,78.000,40.000,0.000,42.000,89.000,0,0,0
Tue Jul 08 '14 - 12:42,40.000,102.000,78.000,40.000,0.000,42.000,112.000,0,0,0
Wed Jul 09 '14 - 12:41,40.000,102.000,78.000,40.000,0.000,42.000,112.000,0,0,0
Thu Jul 10 '14 - 12:42,40.000,102.000,78.000,40.000,0.000,42.000,119.000,0,0,0
Fri Jul 11 '14 - 12:42,40.000,102.000,78.000,40.000,0.000,42.000,119.000,0,0,0
Sat Jul 12 '14 - 12:41,0.000,0.000,0.000,0.000,0.000,0.000,119.000,0,0,0
Sun Jul 13 '14 - 12:42,0.000,0.000,0.000,0.000,0.000,0.000,119.000,0,0,0
Mon Jul 14 '14 - 12:42,0.000,0.000,0.000,0.000,0.000,0.000,119.000,0,0,0
Tue Jul 15 '14 - 12:42,0.000,0.000,0.000,0.000,0.000,0.000,149.000,0,0,0
Wed Jul 16 '14 - 12:42,90.000,0.000,124.000,51.000,0.000,158.000,149.000,0,0,0
Thu Jul 17 '14 - 12:42,90.000,0.000,124.000,51.000,0.000,158.000,149.000,0,0,0
Fri Jul 18 '14 - 12:42,90.000,0.000,124.000,51.000,0.000,158.000,149.000,0,0,0
Sat Jul 19 '14 - 12:41,90.000,101.000,124.000,51.000,2.000,158.000,149.000,0,0,0
Sun Jul 20 '14 - 12:41,90.000,101.000,124.000,51.000,2.000,158.000,149.000,0,0,0
Mon Jul 21 '14 - 12:42,90.000,101.000,124.000,51.000,2.000,158.000,149.000,0,0,0
Tue Jul 22 '14 - 13:03,90.000,101.000,152.000,55.000,0.000,158.000,154.000,0,0,0
Wed Jul 23 '14 - 18:42,90.000,101.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
Thu Jul 24 '14 - 13:29,90.000,101.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
Fri Jul 25 '14 - 13:03,90.000,102.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
Sat Jul 26 '14 - 12:02,90.000,102.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
Sun Jul 27 '14 - 12:02,90.000,102.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
Mon Jul 28 '14 - 12:02,90.000,102.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
