quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA,PACA-AU,PAEN-AU,OV-AU
Mon Aug 11 '14 - 20:25,90.000,102.000,152.000,55.000,226.000,158.000,154.000,0.000,0.000,0.000
Tue Aug 12 '14 - 13:04,90.000,102.000,152.000,55.000,228.000,158.000,154.000,0.000,0.000,0.000
Wed Aug 13 '14 - 13:03,90.000,102.000,152.000,55.000,262.000,158.000,154.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:03,90.000,101.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:41,90.000,101.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Fri Aug 15 '14 - 13:03,90.000,101.000,152.000,55.000,20.000,158.000,154.000,119.000,0.000,126.000
Sat Aug 16 '14 - 13:03,90.000,102.000,152.000,55.000,314.000,158.000,154.000,183.000,0.000,126.000
Sun Aug 17 '14 - 13:04,90.000,102.000,152.000,55.000,336.000,158.000,154.000,198.000,0.000,126.000
Mon Aug 18 '14 - 13:03,90.000,101.000,152.000,55.000,336.000,158.000,154.000,198.000,0.000,126.000
Tue Aug 19 '14 - 15:57,90.000,102.000,152.000,55.000,344.000,158.000,229.000,198.000,0.000,126.000
Wed Aug 20 '14 - 13:03,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,46.000,126.000
Thu Aug 21 '14 - 13:04,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,101.000,126.000
Fri Aug 22 '14 - 13:06,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,165.000,126.000
Sat Aug 23 '14 - 13:03,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
Sun Aug 24 '14 - 13:03,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
Mon Aug 25 '14 - 13:04,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
Tue Aug 26 '14 - 13:03,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
Wed Aug 27 '14 - 13:04,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
Thu Aug 28 '14 - 13:03,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
Fri Aug 29 '14 - 13:03,90.000,102.000,152.000,55.000,346.000,158.000,229.000,198.000,212.000,126.000
