quarter,BTCA-SG,LIRI-JP,ORCA-IN,GACA-CN
Thur Jun 19 '14 - 13:08,10,228,0,0
Fri Jun 20 '14 - 12:03,10,228,0,0
Mon Jun 23 '14 - 12:04,11,228,0,0
Tue Jun 24 '14 - 15:45,12,228,0,0
Thu Jun 26 '14 - 19:52,12.000,245.000,0,0
Fri Jun 27 '14 - 14:06,12.000,274.000,0,0
Fri Jun 27 '14 - 18:51,12.000,279.000,0,0
Sat Jun 28 '14 - 12:42,12.000,284.000,0,0
Sun Jun 29 '14 - 12:42,12.000,303.000,0,0
Mon Jun 30 '14 - 12:42,12.000,326.000,0,0
Tue Jul 01 '14 - 12:42,12.000,330.000,0,0
Wed Jul 02 '14 - 12:42,12.000,336.000,0,0
Thu Jul 03 '14 - 12:42,12.000,346.000,0,0
Fri Jul 04 '14 - 12:42,12.000,363.000,0,0
Sat Jul 05 '14 - 12:41,12.000,378.000,0,0
Sun Jul 06 '14 - 12:41,12.000,384.000,0,0
Mon Jul 07 '14 - 12:42,12.000,403.000,0,0
Tue Jul 08 '14 - 12:42,12.000,407.000,11,0
Wed Jul 09 '14 - 12:41,12.000,429.000,11.000,0
Thu Jul 10 '14 - 12:42,12.000,449.000,14.000,0
Fri Jul 11 '14 - 12:42,12.000,483.000,19.000,0
Sat Jul 12 '14 - 12:41,12.000,505.000,20.000,0
Sun Jul 13 '14 - 12:42,12.000,507.000,21.000,0
Mon Jul 14 '14 - 12:42,12.000,524.000,24.000,0
Tue Jul 15 '14 - 12:42,12.000,529.000,26.000,0
Wed Jul 16 '14 - 12:42,12.000,529.000,26.000,0
Thu Jul 17 '14 - 12:42,12.000,529.000,26.000,0
Fri Jul 18 '14 - 12:42,12.000,529.000,26.000,0
Sat Jul 19 '14 - 12:41,12.000,529.000,26.000,0
Sun Jul 20 '14 - 12:41,12.000,529.000,26.000,0
Mon Jul 21 '14 - 12:42,12.000,529.000,26.000,0
Tue Jul 22 '14 - 13:03,12.000,529.000,26.000,0
Wed Jul 23 '14 - 18:42,12.000,529.000,26.000,17.000
Thu Jul 24 '14 - 13:29,12.000,529.000,26.000,17.000
Fri Jul 25 '14 - 13:03,12.000,529.000,26.000,25.000
Sat Jul 26 '14 - 12:02,12.000,529.000,26.000,25.000
Sun Jul 27 '14 - 12:02,12.000,529.000,26.000,25.000
Mon Jul 28 '14 - 12:02,12.000,529.000,26.000,25.000
Tue Jul 29 '14 - 13:03,12.000,529.000,26.000,25.000
Wed Jul 30 '14 - 13:02,12.000,529.000,26.000,25.000
Thu Jul 31 '14 - 13:02,12.000,529.000,26.000,25.000
Fri Aug 01 '14 - 13:02,12.000,529.000,26.000,25.000
Sat Aug 02 '14 - 13:02,12.000,529.000,26.000,25.000
Sun Aug 03 '14 - 13:02,12.000,529.000,26.000,25.000
Mon Aug 04 '14 - 13:03,12.000,529.000,26.000,25.000
Tue Aug 05 '14 - 13:04,12.000,529.000,26.000,25.000
Wed Aug 06 '14 - 13:01,12.000,529.000,26.000,25.000
Mon Aug 11 '14 - 20:25,12.000,529.000,26.000,37.000
Tue Aug 12 '14 - 13:04,12.000,529.000,26.000,39.000
Wed Aug 13 '14 - 13:03,12.000,529.000,26.000,42.000
Thu Aug 14 '14 - 13:03,12.000,530.000,26.000,44.000
Thu Aug 14 '14 - 13:41,12.000,530.000,26.000,44.000
Fri Aug 15 '14 - 13:03,24.000,530.000,26.000,45.000
Sat Aug 16 '14 - 13:03,24.000,530.000,26.000,48.000
Sun Aug 17 '14 - 13:04,24.000,530.000,26.000,48.000
Mon Aug 18 '14 - 13:03,24.000,530.000,26.000,48.000
Tue Aug 19 '14 - 15:57,24.000,530.000,26.000,48.000
Wed Aug 20 '14 - 13:03,24.000,530.000,26.000,51.000
Thu Aug 21 '14 - 13:04,24.000,530.000,26.000,52.000
Fri Aug 22 '14 - 13:06,24.000,530.000,26.000,53.000
Sat Aug 23 '14 - 13:03,24.000,530.000,26.000,53.000
Sun Aug 24 '14 - 13:03,24.000,530.000,26.000,53.000
Mon Aug 25 '14 - 13:04,24.000,530.000,26.000,53.000
Tue Aug 26 '14 - 13:03,24.000,530.000,26.000,53.000
Wed Aug 27 '14 - 13:04,24.000,530.000,26.000,53.000
Thu Aug 28 '14 - 13:03,24.000,530.000,26.000,53.000
Fri Aug 29 '14 - 13:03,24.000,530.000,26.000,53.000
