quarter,BTCA-SG,LIRI-JP,ORCA-IN,GACA-CN
Mon Aug 11 '14 - 20:25,12.000,529.000,26.000,37.000
Tue Aug 12 '14 - 13:04,12.000,529.000,26.000,39.000
Wed Aug 13 '14 - 13:03,12.000,529.000,26.000,42.000
Thu Aug 14 '14 - 13:03,12.000,530.000,26.000,44.000
Thu Aug 14 '14 - 13:41,12.000,530.000,26.000,44.000
Fri Aug 15 '14 - 13:03,24.000,530.000,26.000,45.000
Sat Aug 16 '14 - 13:03,24.000,530.000,26.000,48.000
Sun Aug 17 '14 - 13:04,24.000,530.000,26.000,48.000
Mon Aug 18 '14 - 13:03,24.000,530.000,26.000,48.000
Tue Aug 19 '14 - 15:57,24.000,530.000,26.000,48.000
Wed Aug 20 '14 - 13:03,24.000,530.000,26.000,51.000
Thu Aug 21 '14 - 13:04,24.000,530.000,26.000,52.000
Fri Aug 22 '14 - 13:06,24.000,530.000,26.000,53.000
Sat Aug 23 '14 - 13:03,24.000,530.000,26.000,53.000
Sun Aug 24 '14 - 13:03,24.000,530.000,26.000,53.000
Mon Aug 25 '14 - 13:04,24.000,530.000,26.000,53.000
Tue Aug 26 '14 - 13:03,24.000,530.000,26.000,53.000
Wed Aug 27 '14 - 13:04,24.000,530.000,26.000,53.000
Thu Aug 28 '14 - 13:03,24.000,530.000,26.000,53.000
Fri Aug 29 '14 - 13:03,24.000,530.000,26.000,53.000
