quarter,CLLE-ES
Thur Jun 19 '14 - 13:08,97.5
Fri Jun 20 '14 - 12:03,97.5
Mon Jun 23 '14 - 12:04,66.7808219178082
Tue Jun 24 '14 - 15:45,66.7808219178082
Thu Jun 26 '14 - 19:52,66.781
Fri Jun 27 '14 - 14:06,66.781
Fri Jun 27 '14 - 18:51,66.781
Sat Jun 28 '14 - 12:42,66.781
Sun Jun 29 '14 - 12:42,66.781
Mon Jun 30 '14 - 12:42,97.500
Tue Jul 01 '14 - 12:42,97.500
Wed Jul 02 '14 - 12:42,1.000
Thu Jul 03 '14 - 12:42,97.500
Fri Jul 04 '14 - 12:42,97.500
Sat Jul 05 '14 - 12:41,97.500
Sun Jul 06 '14 - 12:41,97.500
Mon Jul 07 '14 - 12:42,97.500
Tue Jul 08 '14 - 12:42,97.500
Wed Jul 09 '14 - 12:41,97.500
Thu Jul 10 '14 - 12:42,97.500
Fri Jul 11 '14 - 12:42,97.500
Sat Jul 12 '14 - 12:41,96.500
Sun Jul 13 '14 - 12:42,96.500
Mon Jul 14 '14 - 12:42,96.500
Tue Jul 15 '14 - 12:42,96.500
Wed Jul 16 '14 - 12:42,99.000
Thu Jul 17 '14 - 12:42,99.000
Fri Jul 18 '14 - 12:42,99.000
Sat Jul 19 '14 - 12:41,99.000
Sun Jul 20 '14 - 12:41,99.000
Mon Jul 21 '14 - 12:42,99.000
Tue Jul 22 '14 - 13:03,99.000
Wed Jul 23 '14 - 13:02,99.000
Wed Jul 23 '14 - 17:16,99.000
Wed Jul 23 '14 - 17:42,99.000
Wed Jul 23 '14 - 17:54,99.000
Wed Jul 23 '14 - 17:59,99.000
Wed Jul 23 '14 - 18:05,99.000
Wed Jul 23 '14 - 18:07,99.000
Wed Jul 23 '14 - 18:09,99.000
Wed Jul 23 '14 - 18:12,99.000
Wed Jul 23 '14 - 18:16,99.000
Wed Jul 23 '14 - 18:20,99.000
Wed Jul 23 '14 - 18:34,99.000
Wed Jul 23 '14 - 18:42,99.000
Thu Jul 24 '14 - 13:29,99.000
Fri Jul 25 '14 - 13:03,99.000
Sat Jul 26 '14 - 12:02,99.000
Sun Jul 27 '14 - 12:02,99.000
Mon Jul 28 '14 - 12:02,99.000
Tue Jul 29 '14 - 13:03,99.000
Wed Jul 30 '14 - 13:02,99.000
Thu Jul 31 '14 - 13:02,99.000
Fri Aug 01 '14 - 13:02,99.000
Sat Aug 02 '14 - 13:02,99.000
Sun Aug 03 '14 - 13:02,99.000
Mon Aug 04 '14 - 13:03,99.000
Tue Aug 05 '14 - 13:04,99.000
Wed Aug 06 '14 - 13:01,99.000
Mon Aug 11 '14 - 20:25,99.000
Tue Aug 12 '14 - 13:04,99.000
Wed Aug 13 '14 - 13:03,99.000
Thu Aug 14 '14 - 13:41,99.000
Fri Aug 15 '14 - 13:03,99.000
Sat Aug 16 '14 - 13:03,99.000
Sun Aug 17 '14 - 13:04,99.000
Mon Aug 18 '14 - 13:03,99.000
Mon Aug 18 '14 - 17:15,97.500
Tue Aug 19 '14 - 15:57,99.000
Wed Aug 20 '14 - 13:03,99.000
Thu Aug 21 '14 - 13:04,99.000
Fri Aug 22 '14 - 13:06,99.000
Sat Aug 23 '14 - 13:03,99.000
Sun Aug 24 '14 - 13:03,99.000
Mon Aug 25 '14 - 13:04,99.000
Tue Aug 26 '14 - 13:03,99.000
Wed Aug 27 '14 - 13:04,99.000
Thu Aug 28 '14 - 13:03,99.000
Fri Aug 29 '14 - 13:03,99.000
