quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA,PACA-AU,PAEN-AU,OV-AU
Thur Jun 19 '14 - 13:08,0,100,100,100,0,100,50.4065040650407,0,0,0
Fri Jun 20 '14 - 12:03,0,100,100,100,0,100,50.4065040650407,0,0,0
Mon Jun 23 '14 - 12:04,0,83.6065573770492,0,66.6666666666667,0,5.25,50.406,0,0,0
Tue Jun 24 '14 - 15:45,0,83.6065573770492,0,66.6666666666667,0,5.25,50.406,0,0,0
Thu Jun 26 '14 - 19:52,0.000,83.607,100.000,66.667,0.000,5.250,50.406,0,0,0
Fri Jun 27 '14 - 14:06,0.000,83.607,100.000,66.667,0.000,5.250,50.406,0,0,0
Fri Jun 27 '14 - 18:51,0.000,83.607,100.000,66.667,0.000,5.250,50.406,0,0,0
Sat Jun 28 '14 - 12:42,0.000,83.607,100.000,66.667,0.000,5.250,50.406,0,0,0
Sun Jun 29 '14 - 12:42,0.000,83.607,100.000,66.667,0.000,5.250,50.406,0,0,0
Mon Jun 30 '14 - 12:42,0.000,100.000,100.000,100.000,0.000,100.000,50.406,0,0,0
Tue Jul 01 '14 - 12:42,0.000,100.000,100.000,100.000,0.000,100.000,50.406,0,0,0
Wed Jul 02 '14 - 12:42,0.000,100.000,100.000,100.000,0.000,100.000,50.406,0,0,0
Thu Jul 03 '14 - 12:42,0.000,100.000,100.000,100.000,0.000,100.000,50.406,0,0,0
Fri Jul 04 '14 - 12:42,0.000,100.000,100.000,100.000,0.000,100.000,51.639,0,0,0
Sat Jul 05 '14 - 12:41,100.000,100.000,100.000,100.000,0.000,100.000,72.950,0,0,0
Sun Jul 06 '14 - 12:41,100.000,100.000,100.000,100.000,0.000,100.000,72.950,0,0,0
Mon Jul 07 '14 - 12:42,100.000,100.000,100.000,100.000,0.000,100.000,72.950,0,0,0
Tue Jul 08 '14 - 12:42,97.561,100.000,100.000,97.561,0.000,97.674,91.803,0,0,0
Wed Jul 09 '14 - 12:41,97.561,100.000,100.000,97.561,0.000,97.674,91.803,0,0,0
Thu Jul 10 '14 - 12:42,97.561,100.000,100.000,97.561,0.000,97.674,97.541,0,0,0
Fri Jul 11 '14 - 12:42,97.561,100.000,100.000,97.561,0.000,97.674,97.541,0,0,0
Sat Jul 12 '14 - 12:41,0.000,0.000,0.000,0.000,0.000,0.000,76.282,0,0,0
Sun Jul 13 '14 - 12:42,0.000,0.000,0.000,0.000,0.000,0.000,76.282,0,0,0
Mon Jul 14 '14 - 12:42,0.000,0.000,0.000,0.000,0.000,0.000,76.282,0,0,0
Tue Jul 15 '14 - 12:42,0.000,0.000,0.000,0.000,0.000,0.000,95.513,0,0,0
Wed Jul 16 '14 - 12:42,219.512,0.000,158.974,124.390,0.000,131.667,95.513,0,0,0
Thu Jul 17 '14 - 12:42,219.512,0.000,158.974,124.390,0.000,131.667,95.513,0,0,0
Fri Jul 18 '14 - 12:42,219.512,0.000,158.974,124.390,0.000,131.667,96.753,0,0,0
Sat Jul 19 '14 - 12:41,219.512,99.020,158.974,124.390,1.190,131.667,96.753,0,0,0
Sun Jul 20 '14 - 12:41,219.512,99.020,158.974,124.390,1.190,131.667,96.753,0,0,0
Mon Jul 21 '14 - 12:42,219.512,99.020,158.974,124.390,1.190,131.667,96.753,0,0,0
Tue Jul 22 '14 - 13:03,219.512,99.020,194.872,134.146,0.000,131.667,100.000,0,0,0
Wed Jul 23 '14 - 18:42,219.512,99.020,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Thu Jul 24 '14 - 13:29,219.512,99.020,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Fri Jul 25 '14 - 13:03,219.512,100.000,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Sat Jul 26 '14 - 12:02,219.512,100.000,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Sun Jul 27 '14 - 12:02,219.512,100.000,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Mon Jul 28 '14 - 12:02,219.512,100.000,194.872,134.146,0.000,131.667,100.000,0.000,0.000,0.000
Tue Jul 29 '14 - 13:03,219.512,100.000,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Wed Jul 30 '14 - 13:02,219.512,100.000,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Thu Jul 31 '14 - 13:02,219.512,100.000,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Fri Aug 01 '14 - 13:02,219.512,100.000,194.872,134.146,28.947,131.667,100.000,0.000,0.000,0.000
Sat Aug 02 '14 - 13:02,219.512,100.000,194.872,134.146,31.053,131.667,100.000,0.000,0.000,0.000
Sun Aug 03 '14 - 13:02,219.512,100.000,194.872,134.146,37.368,131.667,100.000,0.000,0.000,0.000
Mon Aug 04 '14 - 13:03,219.512,100.000,194.872,134.146,37.368,131.667,100.000,0.000,0.000,0.000
Tue Aug 05 '14 - 13:04,219.512,99.020,194.872,134.146,38.421,131.667,126.230,0.000,0.000,0.000
Wed Aug 06 '14 - 13:01,219.512,99.020,194.872,134.146,39.474,131.667,126.230,0.000,0.000,0.000
Mon Aug 11 '14 - 20:25,219.512,100.000,194.872,134.146,59.474,131.667,100.000,0.000,0.000,0.000
Tue Aug 12 '14 - 13:04,219.512,100.000,194.872,134.146,60.000,131.667,100.000,0.000,0.000,0.000
Wed Aug 13 '14 - 13:03,219.512,100.000,194.872,134.146,68.947,131.667,100.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:03,219.512,99.020,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:41,219.512,99.020,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Fri Aug 15 '14 - 13:03,219.512,99.020,194.872,134.146,5.263,131.667,100.000,60.101,0.000,85.135
Sat Aug 16 '14 - 13:03,219.512,100.000,194.872,134.146,82.632,131.667,100.000,92.424,0.000,85.135
Sun Aug 17 '14 - 13:04,219.512,100.000,194.872,134.146,88.421,131.667,100.000,100.000,0.000,85.135
Mon Aug 18 '14 - 13:03,219.512,99.020,194.872,134.146,88.421,131.667,100.000,100.000,0.000,85.135
Tue Aug 19 '14 - 15:57,219.512,100.000,194.872,134.146,94.505,131.667,100.000,100.000,0.000,85.135
Wed Aug 20 '14 - 13:03,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,21.698,85.135
Thu Aug 21 '14 - 13:04,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,47.642,85.135
Fri Aug 22 '14 - 13:06,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,77.830,85.135
