quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA,PACA-AU,PAEN-AU,OV-AU
Mon Aug 11 '14 - 20:25,219.512,100.000,194.872,134.146,59.474,131.667,100.000,0.000,0.000,0.000
Tue Aug 12 '14 - 13:04,219.512,100.000,194.872,134.146,60.000,131.667,100.000,0.000,0.000,0.000
Wed Aug 13 '14 - 13:03,219.512,100.000,194.872,134.146,68.947,131.667,100.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:03,219.512,99.020,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:41,219.512,99.020,194.872,134.146,5.263,131.667,100.000,0.000,0.000,0.000
Fri Aug 15 '14 - 13:03,219.512,99.020,194.872,134.146,5.263,131.667,100.000,60.101,0.000,85.135
Sat Aug 16 '14 - 13:03,219.512,100.000,194.872,134.146,82.632,131.667,100.000,92.424,0.000,85.135
Sun Aug 17 '14 - 13:04,219.512,100.000,194.872,134.146,88.421,131.667,100.000,100.000,0.000,85.135
Mon Aug 18 '14 - 13:03,219.512,99.020,194.872,134.146,88.421,131.667,100.000,100.000,0.000,85.135
Tue Aug 19 '14 - 15:57,219.512,100.000,194.872,134.146,94.505,131.667,100.000,100.000,0.000,85.135
Wed Aug 20 '14 - 13:03,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,21.698,85.135
Thu Aug 21 '14 - 13:04,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,47.642,85.135
Fri Aug 22 '14 - 13:06,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,77.830,85.135
Sat Aug 23 '14 - 13:03,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,100.000,85.135
Sun Aug 24 '14 - 13:03,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,100.000,85.135
Mon Aug 25 '14 - 13:04,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,100.000,85.135
Tue Aug 26 '14 - 13:03,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,100.000,85.135
Wed Aug 27 '14 - 13:04,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,100.000,85.135
Thu Aug 28 '14 - 13:03,219.512,100.000,194.872,134.146,95.055,131.667,100.000,100.000,100.000,85.135
Fri Aug 29 '14 - 13:03,219.512,100.000,194.872,134.146,91.053,131.667,100.000,100.000,100.000,85.135
