quarter,BTCA-SG,LIRI-JP,ORCA-IN,GACA-CN
Thur Jun 19 '14 - 13:08,83.3333333333333,43.2637571157495,0,0
Fri Jun 20 '14 - 12:03,83.3333333333333,43.2637571157495,0,0
Mon Jun 23 '14 - 12:04,55,37.8737541528239,0,0
Tue Jun 24 '14 - 15:45,60,37.8737541528239,0,0
Thu Jun 26 '14 - 19:52,60.000,40.630,0,0
Fri Jun 27 '14 - 14:06,60.000,45.515,0,0
Fri Jun 27 '14 - 18:51,60.000,46.346,0,0
Sat Jun 28 '14 - 12:42,60.000,47.176,0,0
Sun Jun 29 '14 - 12:42,60.000,50.332,0,0
Mon Jun 30 '14 - 12:42,60.000,55.348,0,0
Tue Jul 01 '14 - 12:42,60.000,56.027,0,0
Wed Jul 02 '14 - 12:42,60.000,57.046,0,0
Thu Jul 03 '14 - 12:42,60.000,58.744,0,0
Fri Jul 04 '14 - 12:42,60.000,61.630,0,0
Sat Jul 05 '14 - 12:41,60.000,64.177,0,0
Sun Jul 06 '14 - 12:41,60.000,65.195,0,0
Mon Jul 07 '14 - 12:42,60.000,68.421,0,0
Tue Jul 08 '14 - 12:42,60.000,69.100,42.307,0
Wed Jul 09 '14 - 12:41,60.000,72.835,42.308,0
Thu Jul 10 '14 - 12:42,60.000,76.231,53.846,0
Fri Jul 11 '14 - 12:42,60.000,82.003,73.077,0
Sat Jul 12 '14 - 12:41,46.154,90.991,76.923,0
Sun Jul 13 '14 - 12:42,46.154,91.351,80.769,0
Mon Jul 14 '14 - 12:42,46.154,94.414,92.308,0
Tue Jul 15 '14 - 12:42,46.154,95.315,100.000,0
Wed Jul 16 '14 - 12:42,46.154,95.315,100.000,0
Thu Jul 17 '14 - 12:42,46.154,95.315,100.000,0
Fri Jul 18 '14 - 12:42,46.154,95.315,100.000,0
Sat Jul 19 '14 - 12:41,46.154,95.315,100.000,0
Sun Jul 20 '14 - 12:41,46.154,95.315,100.000,0
Mon Jul 21 '14 - 12:42,46.154,95.315,100.000,0
Tue Jul 22 '14 - 13:03,46.154,95.315,100.000,0
Wed Jul 23 '14 - 18:42,46.154,89.509,100.000,14.167
Thu Jul 24 '14 - 13:29,46.154,89.509,100.000,14.167
Fri Jul 25 '14 - 13:03,46.154,89.509,100.000,20.833
Sat Jul 26 '14 - 12:02,46.154,89.509,100.000,20.833
Sun Jul 27 '14 - 12:02,46.154,89.509,100.000,20.833
Mon Jul 28 '14 - 12:02,46.154,89.509,100.000,20.833
Tue Jul 29 '14 - 13:03,46.154,89.509,100.000,20.833
Wed Jul 30 '14 - 13:02,46.154,89.509,100.000,20.833
Thu Jul 31 '14 - 13:02,46.154,89.509,100.000,20.833
Fri Aug 01 '14 - 13:02,46.154,89.509,100.000,20.833
Sat Aug 02 '14 - 13:02,46.154,89.509,100.000,20.833
Sun Aug 03 '14 - 13:02,46.154,89.509,100.000,20.833
Mon Aug 04 '14 - 13:03,46.154,89.509,100.000,20.833
Tue Aug 05 '14 - 13:04,60.000,89.813,100.000,20.833
Wed Aug 06 '14 - 13:01,60.000,89.813,100.000,20.833
Mon Aug 11 '14 - 20:25,46.154,89.509,100.000,30.833
Tue Aug 12 '14 - 13:04,46.154,89.509,100.000,32.500
Wed Aug 13 '14 - 13:03,46.154,89.509,100.000,35.000
Thu Aug 14 '14 - 13:03,46.154,89.527,100.000,36.667
Thu Aug 14 '14 - 13:41,46.154,89.527,100.000,36.667
Fri Aug 15 '14 - 13:03,100.000,89.527,100.000,37.500
Sat Aug 16 '14 - 13:03,100.000,89.527,100.000,40.000
Sun Aug 17 '14 - 13:04,100.000,89.527,100.000,40.000
Mon Aug 18 '14 - 13:03,100.000,89.527,100.000,40.000
Tue Aug 19 '14 - 15:57,100.000,89.527,100.000,40.000
Wed Aug 20 '14 - 13:03,100.000,89.527,100.000,42.500
Thu Aug 21 '14 - 13:04,100.000,89.527,100.000,43.333
Fri Aug 22 '14 - 13:06,100.000,89.527,100.000,44.167
Sat Aug 23 '14 - 13:03,100.000,89.527,100.000,44.167
Sun Aug 24 '14 - 13:03,100.000,89.527,100.000,44.167
Mon Aug 25 '14 - 13:04,100.000,89.527,100.000,44.167
Tue Aug 26 '14 - 13:03,100.000,89.527,100.000,44.167
Wed Aug 27 '14 - 13:04,100.000,89.527,100.000,44.167
Thu Aug 28 '14 - 13:03,100.000,89.527,100.000,44.167
Fri Aug 29 '14 - 13:03,100.000,89.527,100.000,44.167
