Project	Total
BOCA-UK	76
BRCA-EU	79
BRCA-KR	0
BRCA-UK	45
BTCA-SG	6
CLLE-ES	97
CMDI-UK	32
EOPC-DE	11
ESAD-UK	10
GACA-CN	12
LAML-KR	10
LICA-FR	5
LINC-JP	0
LIRI-JP	259
MALY-DE	97
ORCA-IN	13
OV-AU	0
PACA-AU	0
PACA-CA	76
PAEN-AU	0
PBCA-DE	251
PRAD-CA	0
PRAD-UK	23
BLCA-US	23
BRCA-US	99
CESC-US	20
COAD-US	46
DLBC-US	7
GBM-US	48
HNSC-US	46
KICH-US	49
KIRC-US	41
KIRP-US	34
LAML-US	50
LGG-US	20
LIHC-US	54
LUAD-US	49
LUSC-US	50
OV-US	50
PRAD-US	20
READ-US	17
SARC-US	34
SKCM-US	38
STAD-US	40
THCA-US	50
UCEC-US	51
