quarter,24 Hours,48 Hours,Week
March 10 2015 01:58,4210,4210,4210
March 11 2015 01:58,4212,4211,4209.57
March 14 2015 01:58,4218,4214,4208.28
March 17 2015 01:58,4224,4217,4206.99
March 20 2015 01:58,4230,4220,4205.7
March 23 2015 01:58,4236,4223,4204.41
March 26 2015 01:58,4242,4226,4203.12
March 29 2015 01:58,4248,4229,4201.83
April 01 2015 01:58,4254,4232,4200.54
April 04 2015 01:58,4260,4235,4199.25
April 07 2015 01:58,4266,4238,4197.96
April 10 2015 01:58,4272,4241,4196.67
April 13 2015 01:58,4278,4244,4195.38
April 16 2015 01:58,4284,4247,4194.09
April 19 2015 01:58,4290,4250,4192.8
April 22 2015 01:58,4296,4253,4191.51
April 25 2015 01:58,4302,4256,4190.22
April 28 2015 01:58,4308,4259,4188.93
May 01 2015 01:58,4314,4262,4187.64
May 04 2015 01:58,4320,4265,4186.35
May 07 2015 01:58,4326,4268,4185.06
May 10 2015 01:58,4332,4271,4183.77
May 13 2015 01:58,4338,4274,4182.48
May 16 2015 01:58,4344,4277,4181.19
May 19 2015 01:58,4350,4280,4179.9
May 22 2015 01:58,4356,4283,4178.61
May 25 2015 01:58,4362,4286,4177.32
May 28 2015 01:58,4368,4289,4176.03
May 31 2015 01:58,4374,4292,4174.74
June 03 2015 01:58,4380,4295,4173.45
June 06 2015 01:58,4386,4298,4172.16
June 09 2015 01:58,4392,4301,4170.87
June 12 2015 01:58,4398,4304,4169.58
June 15 2015 01:58,4404,4307,4168.29
June 18 2015 01:58,4410,4310,4167
June 21 2015 01:58,4416,4313,4165.71
June 24 2015 01:58,4422,4316,4164.42
June 27 2015 01:58,4428,4319,4163.13
June 30 2015 01:58,4434,4322,4161.84
July 03 2015 01:58,4440,4325,4160.55
July 06 2015 01:58,4446,4328,4159.26
July 09 2015 01:58,4452,4331,4157.97
July 12 2015 01:58,4458,4334,4156.68
July 15 2015 01:58,4464,4337,4155.39
July 18 2015 01:58,4470,4340,4154.1
July 21 2015 01:58,4476,4343,4152.81
July 24 2015 01:58,4482,4346,4151.52
July 27 2015 01:58,4488,4349,4150.23
