quarter,CLLE-ES
Thur Jun 19 '14 - 13:08,195
Fri Jun 20 '14 - 12:03,195
Mon Jun 23 '14 - 12:04,195
Tue Jun 24 '14 - 15:45,195
Thu Jun 26 '14 - 19:52,195.000
Fri Jun 27 '14 - 14:06,195.000
Fri Jun 27 '14 - 18:51,195.000
Sat Jun 28 '14 - 12:42,195.000
Sun Jun 29 '14 - 12:42,195.000
Mon Jun 30 '14 - 12:42,195.000
Tue Jul 01 '14 - 12:42,195.000
Wed Jul 02 '14 - 12:42,2.000
Thu Jul 03 '14 - 12:42,195.000
Fri Jul 04 '14 - 12:42,195.000
Sat Jul 05 '14 - 12:41,195.000
Sun Jul 06 '14 - 12:41,195.000
Mon Jul 07 '14 - 12:42,195.000
Tue Jul 08 '14 - 12:42,195.000
Wed Jul 09 '14 - 12:41,195.000
Thu Jul 10 '14 - 12:42,195.000
Fri Jul 11 '14 - 12:42,195.000
Sat Jul 12 '14 - 12:41,193.000
Sun Jul 13 '14 - 12:42,193.000
Mon Jul 14 '14 - 12:42,193.000
Tue Jul 15 '14 - 12:42,193.000
Wed Jul 16 '14 - 12:42,198.000
Thu Jul 17 '14 - 12:42,198.000
Fri Jul 18 '14 - 12:42,198.000
Sat Jul 19 '14 - 12:41,198.000
Sun Jul 20 '14 - 12:41,198.000
Mon Jul 21 '14 - 12:42,198.000
Tue Jul 22 '14 - 13:03,198.000
Wed Jul 23 '14 - 13:02,198.000
Wed Jul 23 '14 - 17:16,198.000
Wed Jul 23 '14 - 17:42,198.000
Wed Jul 23 '14 - 17:54,198.000
Wed Jul 23 '14 - 17:59,198.000
Wed Jul 23 '14 - 18:05,198.000
Wed Jul 23 '14 - 18:07,198.000
Wed Jul 23 '14 - 18:09,198.000
Wed Jul 23 '14 - 18:12,198.000
Wed Jul 23 '14 - 18:16,198.000
Wed Jul 23 '14 - 18:20,198.000
Wed Jul 23 '14 - 18:34,198.000
Wed Jul 23 '14 - 18:42,198.000
Thu Jul 24 '14 - 13:29,198.000
Fri Jul 25 '14 - 13:03,198.000
Sat Jul 26 '14 - 12:02,198.000
Sun Jul 27 '14 - 12:02,198.000
Mon Jul 28 '14 - 12:02,198.000
Tue Jul 29 '14 - 13:03,198.000
Wed Jul 30 '14 - 13:02,198.000
Thu Jul 31 '14 - 13:02,198.000
Fri Aug 01 '14 - 13:02,198.000
Sat Aug 02 '14 - 13:02,198.000
Sun Aug 03 '14 - 13:02,198.000
Mon Aug 04 '14 - 13:03,198.000
Tue Aug 05 '14 - 13:04,198.000
Wed Aug 06 '14 - 13:01,198.000
Mon Aug 11 '14 - 20:25,198.000
Tue Aug 12 '14 - 13:04,198.000
Wed Aug 13 '14 - 13:03,198.000
Thu Aug 14 '14 - 13:41,198.000
Fri Aug 15 '14 - 13:03,198.000
Sat Aug 16 '14 - 13:03,198.000
Sun Aug 17 '14 - 13:04,198.000
Mon Aug 18 '14 - 13:03,198.000
Mon Aug 18 '14 - 17:15,195.000
