quarter,PBCA-DE,MALY-DE,EOPC-DE
Sun Jul 27 '14 - 12:02,504.000,194.000,22.000
Mon Jul 28 '14 - 12:02,504.000,194.000,22.000
Tue Jul 29 '14 - 13:03,504.000,194.000,22.000
Wed Jul 30 '14 - 13:02,504.000,194.000,22.000
Thu Jul 31 '14 - 13:02,504.000,194.000,22.000
Fri Aug 01 '14 - 13:02,504.000,194.000,22.000
Sat Aug 02 '14 - 13:02,504.000,194.000,22.000
Sun Aug 03 '14 - 13:02,504.000,194.000,22.000
Mon Aug 04 '14 - 13:03,504.000,194.000,22.000
Tue Aug 05 '14 - 13:04,504.000,194.000,22.000
Wed Aug 06 '14 - 13:01,504.000,194.000,22.000
Mon Aug 11 '14 - 20:25,504.000,194.000,22.000
Tue Aug 12 '14 - 13:04,504.000,194.000,22.000
Wed Aug 13 '14 - 13:03,504.000,194.000,111.000
Thu Aug 14 '14 - 13:41,504.000,194.000,111.000
Fri Aug 15 '14 - 13:03,504.000,194.000,115.000
Sat Aug 16 '14 - 13:03,504.000,194.000,115.000
Sun Aug 17 '14 - 13:04,504.000,194.000,115.000
Mon Aug 18 '14 - 13:03,504.000,194.000,115.000
Mon Aug 18 '14 - 17:15,504.000,194.000,115.000
