quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA,PACA-AU,PAEN-AU,OV-AU
Mon Jul 28 '14 - 12:02,90.000,102.000,152.000,55.000,0.000,158.000,154.000,0.000,0.000,0.000
Tue Jul 29 '14 - 13:03,90.000,102.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Wed Jul 30 '14 - 13:02,90.000,102.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Thu Jul 31 '14 - 13:02,90.000,102.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Fri Aug 01 '14 - 13:02,90.000,102.000,152.000,55.000,110.000,158.000,154.000,0.000,0.000,0.000
Sat Aug 02 '14 - 13:02,90.000,102.000,152.000,55.000,118.000,158.000,154.000,0.000,0.000,0.000
Sun Aug 03 '14 - 13:02,90.000,102.000,152.000,55.000,142.000,158.000,154.000,0.000,0.000,0.000
Mon Aug 04 '14 - 13:03,90.000,102.000,152.000,55.000,142.000,158.000,154.000,0.000,0.000,0.000
Tue Aug 05 '14 - 13:04,90.000,101.000,152.000,55.000,146.000,158.000,154.000,0.000,0.000,0.000
Wed Aug 06 '14 - 13:01,90.000,101.000,152.000,55.000,150.000,158.000,154.000,0.000,0.000,0.000
Mon Aug 11 '14 - 20:25,90.000,102.000,152.000,55.000,226.000,158.000,154.000,0.000,0.000,0.000
Tue Aug 12 '14 - 13:04,90.000,102.000,152.000,55.000,228.000,158.000,154.000,0.000,0.000,0.000
Wed Aug 13 '14 - 13:03,90.000,102.000,152.000,55.000,262.000,158.000,154.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:03,90.000,101.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Thu Aug 14 '14 - 13:41,90.000,101.000,152.000,55.000,20.000,158.000,154.000,0.000,0.000,0.000
Fri Aug 15 '14 - 13:03,90.000,101.000,152.000,55.000,20.000,158.000,154.000,119.000,0.000,126.000
Sat Aug 16 '14 - 13:03,90.000,102.000,152.000,55.000,314.000,158.000,154.000,183.000,0.000,126.000
Sun Aug 17 '14 - 13:04,90.000,102.000,152.000,55.000,336.000,158.000,154.000,198.000,0.000,126.000
Mon Aug 18 '14 - 13:03,90.000,101.000,152.000,55.000,20.000,158.000,154.000,198.000,0.000,126.000
Mon Aug 18 '14 - 17:15,90.000,101.000,152.000,55.000,20.000,158.000,177.000,0.000,0.000,0.000
