quarter,PBCA-DE,MALY-DE,EOPC-DE
Thur Jun 19 '14 - 13:08,378,88,22
Fri Jun 20 '14 - 12:03,378,88,22
Mon Jun 23 '14 - 12:04,378,88,22
Tue Jun 24 '14 - 15:45,500,146,22
Thu Jun 26 '14 - 19:44,500.000,146.000,22.000
Thu Jun 26 '14 - 19:52,500.000,146.000,22.000
Fri Jun 27 '14 - 14:06,500.000,146.000,22.000
Fri Jun 27 '14 - 18:51,500.000,146.000,22.000
Sat Jun 28 '14 - 12:42,500.000,146.000,22.000
Sun Jun 29 '14 - 12:42,500.000,146.000,22.000
Mon Jun 30 '14 - 12:42,500.000,146.000,22.000
Tue Jul 01 '14 - 12:42,502.000,146.000,22.000
Wed Jul 02 '14 - 12:42,502.000,146.000,22.000
Thu Jul 03 '14 - 12:42,502.000,146.000,22.000
Fri Jul 04 '14 - 12:42,502.000,196.000,22.000
Sat Jul 05 '14 - 12:41,502.000,194.000,22.000
Sun Jul 06 '14 - 12:41,502.000,194.000,22.000
Mon Jul 07 '14 - 12:42,502.000,194.000,22.000
Tue Jul 08 '14 - 12:42,502.000,194.000,22.000
Wed Jul 09 '14 - 12:41,502.000,194.000,22.000
Thu Jul 10 '14 - 12:42,502.000,194.000,22.000
Fri Jul 11 '14 - 12:42,502.000,194.000,22.000
Sat Jul 12 '14 - 12:41,502.000,194.000,22.000
Sun Jul 13 '14 - 12:42,502.000,194.000,22.000
Mon Jul 14 '14 - 12:42,502.000,194.000,22.000
Tue Jul 15 '14 - 12:42,502.000,194.000,22.000
Wed Jul 16 '14 - 12:42,502.000,194.000,22.000
Thu Jul 17 '14 - 12:42,502.000,194.000,22.000
Fri Jul 18 '14 - 12:42,502.000,194.000,22.000
Sat Jul 19 '14 - 12:41,504.000,194.000,22.000
Sun Jul 20 '14 - 12:41,504.000,194.000,22.000
Mon Jul 21 '14 - 12:42,504.000,194.000,22.000
Tue Jul 22 '14 - 13:03,504.000,194.000,22.000
Wed Jul 23 '14 - 13:02,504.000,194.000,22.000
Wed Jul 23 '14 - 17:16,504.000,194.000,22.000
Wed Jul 23 '14 - 17:42,504.000,194.000,22.000
Wed Jul 23 '14 - 17:54,504.000,194.000,22.000
Wed Jul 23 '14 - 17:59,504.000,194.000,22.000
Wed Jul 23 '14 - 18:05,504.000,194.000,22.000
Wed Jul 23 '14 - 18:07,504.000,194.000,22.000
Wed Jul 23 '14 - 18:09,504.000,194.000,22.000
Wed Jul 23 '14 - 18:12,504.000,194.000,22.000
Wed Jul 23 '14 - 18:16,504.000,194.000,22.000
Wed Jul 23 '14 - 18:20,504.000,194.000,22.000
Wed Jul 23 '14 - 18:34,504.000,194.000,22.000
Wed Jul 23 '14 - 18:42,504.000,194.000,22.000
Thu Jul 24 '14 - 13:29,504.000,194.000,22.000
Fri Jul 25 '14 - 13:03,504.000,194.000,22.000
Sat Jul 26 '14 - 12:02,504.000,194.000,22.000
Sun Jul 27 '14 - 12:02,504.000,194.000,22.000
Mon Jul 28 '14 - 12:02,504.000,194.000,22.000
Tue Jul 29 '14 - 13:03,504.000,194.000,22.000
Wed Jul 30 '14 - 13:02,504.000,194.000,22.000
Thu Jul 31 '14 - 13:02,504.000,194.000,22.000
Fri Aug 01 '14 - 13:02,504.000,194.000,22.000
Sat Aug 02 '14 - 13:02,504.000,194.000,22.000
Sun Aug 03 '14 - 13:02,504.000,194.000,22.000
Mon Aug 04 '14 - 13:03,504.000,194.000,22.000
Tue Aug 05 '14 - 13:04,504.000,194.000,22.000
Wed Aug 06 '14 - 13:01,504.000,194.000,22.000
Mon Aug 11 '14 - 20:25,504.000,194.000,22.000
Tue Aug 12 '14 - 13:04,504.000,194.000,22.000
Wed Aug 13 '14 - 13:03,504.000,194.000,111.000
Thu Aug 14 '14 - 13:41,504.000,194.000,111.000
Fri Aug 15 '14 - 13:03,504.000,194.000,115.000
Sat Aug 16 '14 - 13:03,504.000,194.000,115.000
Sun Aug 17 '14 - 13:04,504.000,194.000,115.000
Mon Aug 18 '14 - 13:03,504.000,194.000,115.000
Mon Aug 18 '14 - 17:15,504.000,194.000,115.000
Tue Aug 19 '14 - 15:57,504.000,194.000,115.000
Wed Aug 20 '14 - 13:03,504.000,194.000,115.000
Thu Aug 21 '14 - 13:04,504.000,194.000,115.000
Fri Aug 22 '14 - 13:06,504.000,194.000,115.000
Sat Aug 23 '14 - 13:03,504.000,194.000,115.000
Sun Aug 24 '14 - 13:03,504.000,194.000,115.000
Mon Aug 25 '14 - 13:04,504.000,194.000,115.000
Tue Aug 26 '14 - 13:03,504.000,194.000,115.000
Wed Aug 27 '14 - 13:04,504.000,194.000,115.000
Thu Aug 28 '14 - 13:03,504.000,194.000,115.000
Fri Aug 29 '14 - 13:03,504.000,194.000,115.000
